<<<<<<< Updated upstream
                             2                             2                      2.000000
                           123                             3                      3.000000
                             1                             1                      1.000000
=======
                          1001                          黎明                   1002.000000
                          1002                          小王                  43553.000000
                          1003                          john                    666.000000
                          1004                          李鹏                    230.000000
                          1005                          赵铭                    660.000000
                          1006                          李四                    666.000000
                          1987                        张三丰                      0.000000
                          1942                      Disaster                  10000.000000
                          1998                          佳佳                   9999.000000
                         10006                        小龙女                    544.000000
                           111                          李华                    100.000000
                          1008                          李记                   3000.000000
                             2                             2                      2.000000
                             3                             3                      3.000000
>>>>>>> Stashed changes
